state, probability,
[39; 2; 6; 3],1.44272874544e-55,
[39; 2; 5; 4],3.00448260999e-54,
[39; 2; 4; 5],5.00546802428e-53,
[39; 2; 3; 6],6.94925810155e-52,
[39; 2; 2; 7],8.26961713429e-51,
[39; 2; 1; 8],8.61073883427e-50,
[39; 2; 0; 9],7.96971715918e-49,
[39; 1; 10; 0],3.9936469078e-61,
[39; 1; 9; 1],3.32670787156e-59,
[39; 1; 8; 2],1.38557382741e-57,
[39; 1; 7; 3],3.84727665773e-56,
[39; 1; 6; 4],8.01195363337e-55,
[39; 1; 5; 5],1.33479147426e-53,
[39; 1; 4; 6],1.8531354953e-52,
[39; 1; 3; 7],2.20523123766e-51,
[39; 1; 2; 8],2.2961970244e-50,
[39; 1; 1; 9],2.1252579109e-49,
[39; 1; 0; 10],1.77033983838e-48,
[39; 0; 11; 0],1.06497250964e-61,
[39; 0; 10; 1],8.87122099829e-60,
[39; 0; 9; 2],3.69486354286e-58,
[39; 0; 8; 3],1.02594044292e-56,
[39; 0; 7; 4],2.13652097069e-55,
[39; 0; 6; 5],3.55944393436e-54,
[39; 0; 5; 6],4.94169465829e-53,
[39; 0; 4; 7],5.88061663871e-52,
[39; 0; 3; 8],6.12319207021e-51,
[39; 0; 2; 9],5.66735443383e-50,
[39; 0; 1; 10],4.72090623964e-49,
[39; 0; 0; 11],3.57501354046e-48,
[38; 12; 0; 0],7.6476658809e-54,
[38; 11; 1; 0],2.03937756995e-54,
[38; 11; 0; 1],1.69880151443e-52,
[38; 10; 2; 0],5.43834019111e-55,
[38; 10; 1; 1],4.53013737561e-53,
[38; 10; 0; 2],1.88680221545e-51,
[38; 9; 3; 0],1.45022405218e-55,
[38; 9; 2; 1],1.20803663451e-53,
[38; 9; 1; 2],5.03147257875e-52,
[38; 9; 0; 3],1.39707221826e-50,
[38; 8; 4; 0],3.8672641424e-56,
[38; 8; 3; 1],3.22143102807e-54,
[38; 8; 2; 2],1.34172602213e-52,
[38; 8; 1; 3],3.72552591849e-51,
[38; 8; 0; 4],7.75840771912e-50,
[38; 7; 5; 0],1.03127043884e-56,
[38; 7; 4; 1],8.59048274873e-55,
[38; 7; 3; 2],3.57793606201e-53,
[38; 7; 2; 3],9.93473579099e-52,
[38; 7; 1; 4],2.06890872684e-50,
[38; 7; 0; 5],3.44680193618e-49,
[38; 6; 6; 0],2.75005450588e-57,
[38; 6; 5; 1],2.29079540159e-55,
[38; 6; 4; 2],9.54116284005e-54,
[38; 6; 3; 3],2.64926287982e-52,
[38; 6; 2; 4],5.51708994287e-51,
[38; 6; 1; 5],9.19147183754e-50,
[38; 6; 0; 6],1.27608267243e-48,
[38; 5; 7; 0],7.33347868851e-58,
[38; 5; 6; 1],6.10878774269e-56,
[38; 5; 5; 2],2.54431009282e-54,
[38; 5; 4; 3],7.0647010188e-53,
[38; 5; 3; 4],1.471223986e-51,
[38; 5; 2; 5],2.45105915874e-50,
[38; 5; 1; 6],3.40288712935e-49,
[38; 5; 0; 7],4.04943568072e-48,
[38; 4; 8; 0],1.95559431858e-58,
[38; 4; 7; 1],1.62901006609e-56,
[38; 4; 6; 2],6.78482691988e-55,
[38; 4; 5; 3],1.88392027326e-53,
[38; 4; 4; 4],3.92326396596e-52,
[38; 4; 3; 5],6.53615776212e-51,
[38; 4; 2; 6],9.07436568589e-50,
[38; 4; 1; 7],1.07984951577e-48,
[38; 4; 0; 8],1.1243933074e-47,
[38; 3; 9; 0],5.21491818726e-59,
[38; 3; 8; 1],4.34402684655e-57,
[38; 3; 7; 2],1.80928718015e-55,
[38; 3; 6; 3],5.02378739958e-54,
[38; 3; 5; 4],1.04620372514e-52,
[38; 3; 4; 5],1.7429754047e-51,
[38; 3; 3; 6],2.4198308516e-50,
[38; 3; 2; 7],2.87959871113e-49,
[38; 3; 1; 8],2.99838215559e-48,
[38; 3; 0; 9],2.77516925959e-47,
[38; 2; 10; 0],1.3906448511e-59,
[38; 2; 9; 1],1.15840716005e-57,
[38; 2; 8; 2],4.8247658178e-56,
[38; 2; 7; 3],1.33967664101e-54,
[38; 2; 6; 4],2.7898766027e-53,
[38; 2; 5; 5],4.64793441643e-52,
[38; 2; 4; 6],6.45288227636e-51,
[38; 2; 3; 7],7.67892990279e-50,
[38; 2; 2; 8],7.99568575496e-49,
[38; 2; 1; 9],7.40045136512e-48,
[38; 2; 0; 10],6.16457598226e-47,
[38; 1; 11; 0],3.70838627272e-60,
[38; 1; 10; 1],3.08908576273e-58,
[38; 1; 9; 2],1.28660421916e-56,
[38; 1; 8; 3],3.57247104571e-55,
[38; 1; 7; 4],7.43967094679e-54,
[38; 1; 6; 5],1.23944917875e-52,
[38; 1; 5; 6],1.72076860848e-51,
[38; 1; 4; 7],2.04771464247e-50,
[38; 1; 3; 8],2.13218286978e-49,
[38; 1; 2; 9],1.97345369902e-48,
[38; 1; 1; 10],1.64388692998e-47,
[38; 1; 0; 11],1.24487073781e-46,
[38; 0; 12; 0],9.8890300689e-61,
[38; 0; 11; 1],8.23756204088e-59,
[38; 0; 10; 2],3.43094458731e-57,
[38; 0; 9; 3],9.52658946322e-56,
[38; 0; 8; 4],1.98391225415e-54,
[38; 0; 7; 5],3.30519781279e-53,
[38; 0; 6; 6],4.58871629312e-52,
[38; 0; 5; 7],5.46057238449e-51,
[38; 0; 4; 8],5.68582099085e-50,
[38; 0; 3; 9],5.26254320181e-49,
[38; 0; 2; 10],4.38369848364e-48,
[38; 0; 1; 11],3.31965530362e-47,
[38; 0; 0; 12],2.30439405477e-46,
[37; 13; 0; 0],2.59474367972e-52,
[37; 12; 1; 0],6.91931648507e-53,
